Question,Entity-Type
What is the atomic number of carbon?,CARDINAL
How many valence electrons does oxygen have?,CARDINAL
What is the oxidation state of sulfur in SO2?,CARDINAL
How many lone pairs are there on a nitrogen atom in NH3?,CARDINAL
What is the coordination number of iron in Fe(CN)6^4-?,CARDINAL
How many resonance structures can ozone (O3) have?,CARDINAL
In the compound NaCl, what is the charge of the sodium ion?,CARDINAL
How many sigma bonds are present in a methane molecule?,CARDINAL
What is the spin-only magnetic moment for Fe(II)?,CARDINAL
How many d-electrons does copper (Cu) have in its ground state?,CARDINAL
What is the molar mass of water (H2O) approximately in grams per mole?,CARDINAL
How many atoms are present in a formula unit of calcium carbonate (CaCO3)?,CARDINAL
In a cubic crystal system, how many edges meet at each vertex?,CARDINAL
How many hydrogen atoms bond with carbon to form methane (CH4)?,CARDINAL
What is the coordination number of cobalt in [Co(NH3)6]^2+?,CARDINAL
How many unpaired electrons does a chromium atom have in its ground state?,CARDINAL
What is the atomic number of chlorine?,CARDINAL
In a crystal structure, if an ion has a coordination number of 8, how many nearest neighbors does it have?,CARDINAL
How many lone pairs are present on each oxygen atom in water (H2O)?,CARDINAL
What is the oxidation state of manganese in KMnO4?,CARDINAL
When was the first synthesis of buckminsterfullerene (C60) reported?,DATE
What year did Dmitri Mendeleev publish his periodic table?,DATE
In which year was the concept of chemical elements first proposed by Robert Boyle?,DATE
Which date marks the discovery of oxygen by Joseph Priestley?,DATE
When did Antoine Lavoisier publish "Elements of Chemistry", marking a significant step in modern chemistry?,DATE
What is the date when Marie Curie and Pierre Curie discovered polonium and radium?,DATE
On what date was Dmitri Mendeleev born, influencing the future of chemical elements classification?,DATE
When did John Newlands propose his Law of Octaves in inorganic chemistry?,DATE
In which year did Henry Moseley establish the concept of atomic number?,DATE
What is the date when Linus Pauling proposed the concept of electronegativity?,DATE
When was the first stable compound of a noble gas synthesized, breaking the belief that these elements do not react?,DATE
On what date did Friedrich Wöhler synthesize urea, marking the start of organic chemistry?,DATE
What year saw the discovery of the electron by J.J. Thomson?,DATE
In which year did Alfred Werner revolutionize coordination chemistry with his work on complexes?,DATE
When was the first noble gas, helium, identified on Earth after its spectral lines were seen in the sun's spectrum during a solar eclipse?,DATE
On what date did Marie Curie win her second Nobel Prize for her services to the advancement of chemistry by the discovery of the elements radium and polonium?,DATE
What is the date when Carl Wilhelm Scheele discovered chlorine, which became significant in inorganic chemistry?,DATE
In which year was the first element synthesised in a laboratory, as opposed to being found naturally occurring?,DATE
When did the periodic table get its current form after Glenn T. Seaborg's work with transuranium elements?,DATE
What is the date when the structure of DNA was published by James Watson and Francis Crick, indirectly impacting inorganic chemistry through bioinorganic chemistry?,DATE
What is the process called when two or more elements combine to form a compound?,EVENT
How does the reaction of sodium and chlorine occur to produce table salt (NaCl)?,EVENT
Describe the event that takes place during the synthesis of water from hydrogen and oxygen gases.,EVENT
Can you explain what happens in an acid-base neutralization reaction to form salt and water?,EVENT
What event occurs when iron rusts due to oxidation in the presence of moisture and air?,EVENT
In inorganic chemistry, how does the formation of a precipitate occur during a double displacement reaction?,EVENT
Could you elaborate on the process of calcination that takes place when heating limestone to form lime?,EVENT
Explain what happens in the event of a decomposition reaction where water is split into hydrogen and oxygen.,EVENT
What is the event called when carbon dioxide dissolves in water to form carbonic acid?,EVENT
Describe the event during the Haber process for ammonia synthesis from nitrogen and hydrogen gases.,EVENT
How does the combustion event occur for an inorganic compound like sulfur, releasing energy as heat and light?,EVENT
Could you explain what occurs during the formation of a metal hydride when hydrogen gas reacts with metals under pressure?,EVENT
What is the event where carbon monoxide binds with hemoglobin in blood, preventing oxygen transport known as?,EVENT
In terms of an event, how does the process of smelting ore to extract pure metal occur?,EVENT
Describe the process event that happens during the electrolysis of molten sodium chloride to produce chlorine gas and metallic sodium.,EVENT
How does the event of reduction happen in the context of a redox reaction where copper ions gain electrons from zinc?,EVENT
Could you explain what takes place in an exothermic synthesis event when calcium oxide reacts with water forming slaked lime?,EVENT
What is the event that occurs during the industrial production of sulfuric acid through contact process?,EVENT
Describe the event involved in a metal displacement reaction where copper sulfate solution turns into zinc sulfate and pure copper.,EVENT
Explain what happens in an event known as sublimation when solid iodine turns directly into vapor upon heating without passing through liquid state.,EVENT
What is the role of oxygen in the formation of oxides?,FAC
How does sulfur contribute to the creation of sulfides and sulfates in inorganic chemistry?,FAC
Can you explain the function of chlorine as a halogen in inorganic reactions?,FAC
Describe the importance of carbon dioxide in inorganic synthesis.,FAC
What role do transition metals play in catalytic processes within inorganic chemistry?,FAC
